id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1114177008546844673,1114177008546844673,2019-04-05 22:44:33 CST,2019-04-05,22:44:33,+0800,146606679,jollenl,Jolle Kirpensteijn,,Dean Greene is challenging us to make the experience superb not just good! Read the book ‘If Disney ran your hospital?’ #VIS2019  https://t.co/lRXkCDAhOg,en,[],[],['https://pbs.twimg.com/media/D3ZaFRNWwAE4wbJ.jpg'],0,2,7,['vis2019'],[],https://twitter.com/jollenl/status/1114177008546844673,False,,1,https://pbs.twimg.com/media/D3ZaFRNWwAE4wbJ.jpg,,,,,,,[],,,,
1114174375782178822,1114174375782178822,2019-04-05 22:34:06 CST,2019-04-05,22:34:06,+0800,906152732477751296,vivetuk,ViVet,,"Howdy!  A great introduction from @aaronmassecar, opening the Veterinary Innovation Summit.  ‘We need to make a space where innovation and Veterinarians come together’  #innovation #veterinary #VIS2019  https://t.co/YnpIqn58Nl",en,"[{'screen_name': 'aaronmassecar', 'name': 'aaron massecar', 'id': '542069415'}]",[],['https://pbs.twimg.com/media/D3ZXrWNWkAAEsTV.jpg'],0,1,4,"['innovation', 'veterinary', 'vis2019']",[],https://twitter.com/ViVetUK/status/1114174375782178822,False,,1,https://pbs.twimg.com/media/D3ZXrWNWkAAEsTV.jpg,,,,,,,[],,,,
1114169714681319424,1114169714681319424,2019-04-05 22:15:34 CST,2019-04-05,22:15:34,+0800,1928853577,zenvet23,"Mia Su Cary, DVM 🌈🐾","{'type': 'Point', 'coordinates': [30.61117494, -96.34258747]}",Here we go! Veterinary Innovation Summit 2019. #innovate #collaborate #vetmed #vetlife #veterinary #agilepioneers #VIS2019 @ Texas A&amp;M Hotel and Conference Center  https://t.co/70caqgLank,en,[],['https://www.instagram.com/p/Bv4HlhOnH2U/?utm_source=ig_twitter_share&igshid=17g6szfjnvd7i'],[],0,1,4,"['innovate', 'collaborate', 'vetmed', 'vetlife', 'veterinary', 'agilepioneers', 'vis2019']",[],https://twitter.com/zenvet23/status/1114169714681319424,False,,0,,,,,,,,[],,,,
1114167730419249152,1114167730419249152,2019-04-05 22:07:41 CST,2019-04-05,22:07:41,+0800,1872135230,doccgood,Cheryl Good,,Ready for #vis2019 ! #veterinarian #veterinarymedicine #veterinarytechnician #veterinarylife #veterinarynurse #texas @the_navc @VetTechs @vet_innovation @ Texas A&amp;M Hotel and Conference…  https://t.co/cV1dR70qrp,en,"[{'screen_name': 'the_navc', 'name': 'navc', 'id': '78102886'}, {'screen_name': 'vettechs', 'name': 'vettechs', 'id': '36954788'}, {'screen_name': 'vet_innovation', 'name': 'vic navc', 'id': '802937818788020224'}]",['https://www.instagram.com/p/Bv4GrLBlpD2/?utm_source=ig_twitter_share&igshid=1f6xd0b9yclao'],[],0,1,2,"['vis2019', 'veterinarian', 'veterinarymedicine', 'veterinarytechnician', 'veterinarylife', 'veterinarynurse', 'texas']",[],https://twitter.com/doccgood/status/1114167730419249152,False,,0,,,,,,,,[],,,,
1113927105862144000,1113927105862144000,2019-04-05 06:11:32 CST,2019-04-05,06:11:32,+0800,1928853577,zenvet23,"Mia Su Cary, DVM 🌈🐾",,Dr. Cheryl Good and I are getting close....looking forward to seeing everyone! #VIS2019  https://t.co/Oj08QKt2iO,en,[],[],['https://pbs.twimg.com/media/D3V2zHkX4AERaZ6.jpg'],1,1,11,['vis2019'],[],https://twitter.com/zenvet23/status/1113927105862144000,False,,1,https://pbs.twimg.com/media/D3V2zHkX4AERaZ6.jpg,,,,,,,[],,,,
1113905232767926272,1113905232767926272,2019-04-05 04:44:37 CST,2019-04-05,04:44:37,+0800,722506778047422464,geniusvets,GeniusVets,,"📽️ Can't make #VIS2019? Tune in LIVE. Don't miss our co-founder, David Hall, speaking tomorrow about the customer experience.",en,[],[],[],0,1,3,['vis2019'],[],https://twitter.com/GeniusVets/status/1113905232767926272,False,https://twitter.com/The_NAVC/status/1113845775522521088,0,,,,,,,,[],,,,
1113865908655509505,1113865908655509505,2019-04-05 02:08:21 CST,2019-04-05,02:08:21,+0800,935432402486280192,anipanion,Anipanion,,"We're exhibiting at #VIS2019 at Texas A&amp;M this weekend... Stop by our booth to learn more about Anipanion, the leading virtual care management platform.  https://t.co/UiFQBfp5El",en,[],[],['https://pbs.twimg.com/media/D3U_H5uUYAANMZm.jpg'],0,1,6,['vis2019'],[],https://twitter.com/anipanion/status/1113865908655509505,False,,1,https://pbs.twimg.com/media/D3U_H5uUYAANMZm.jpg,,,,,,,[],,,,
1113845775522521088,1113845775522521088,2019-04-05 00:48:21 CST,2019-04-05,00:48:21,+0800,78102886,the_navc,NAVC,,We will be LIVE streaming from the 2019 Veterinary Innovation Summit starting tomorrow. Be sure to tune in here:  https://t.co/IFtq5VEDgp #VIS2019 #veterinarian #veterinarymedicine #vetmed #innovation #vetmed #animalhealth #vettech #vetnurse  https://t.co/nttcLmNyPs,en,[],['http://bit.ly/2OOJfXE'],['https://pbs.twimg.com/media/D3UshGLWAAA932x.jpg'],0,4,6,"['vis2019', 'veterinarian', 'veterinarymedicine', 'vetmed', 'innovation', 'vetmed', 'animalhealth', 'vettech', 'vetnurse']",[],https://twitter.com/The_NAVC/status/1113845775522521088,False,,1,https://pbs.twimg.com/media/D3UshGLWAAA932x.jpg,,,,,,,[],,,,
1113817388758310915,1113817388758310915,2019-04-04 22:55:33 CST,2019-04-04,22:55:33,+0800,39290058,thevetrecruiter,Stacy Pursell,,"Look for us at #VIS2019 at @tamuvetmed ! If you're attending the 2019 Veterinary Innovation Summit this coming weekend, we hope to see you there! The Summit is scheduled for Friday, April 5, through Sunday April 7.",en,"[{'screen_name': 'tamuvetmed', 'name': 'texas a&m vet med', 'id': '35044686'}]",[],[],1,1,5,['vis2019'],[],https://twitter.com/TheVETRecruiter/status/1113817388758310915,False,,0,,,,,,,,[],,,,
1113802850562396161,1113802850562396161,2019-04-04 21:57:47 CST,2019-04-04,21:57:47,+0800,1928853577,zenvet23,"Mia Su Cary, DVM 🌈🐾",,#Vetmed peeps check out live streaming at #VIS2019:  https://t.co/Gw7vu6w4Vc @The_NAVC @AAVMC @AVMAvets @AAIVets @wvldi @VetTechs @aavsb @LairmoreDVMDean @AAVMC @StudentAVMA @PrideVMC #bethechange #innovate #collaborate,en,"[{'screen_name': 'the_navc', 'name': 'navc', 'id': '78102886'}, {'screen_name': 'aavmc', 'name': 'aavmc', 'id': '308530694'}, {'screen_name': 'avmavets', 'name': 'avma (american veterinary medical association)', 'id': '90452704'}, {'screen_name': 'aaivets', 'name': 'aaindustryvets', 'id': '3641364312'}, {'screen_name': 'wvldi', 'name': 'wvldi', 'id': '1620913152'}, {'screen_name': 'vettechs', 'name': 'vettechs', 'id': '36954788'}, {'screen_name': 'aavsb', 'name': 'aavsb', 'id': '902063904'}, {'screen_name': 'lairmoredvmdean', 'name': 'michael d. lairmore', 'id': '343564216'}, {'screen_name': 'aavmc', 'name': 'aavmc', 'id': '308530694'}, {'screen_name': 'studentavma', 'name': 'savma', 'id': '528784250'}, {'screen_name': 'pridevmc', 'name': 'pridevmc 🌈🐾 (they, them)', 'id': '753932509'}]",['http://veterinaryinnovationsummit.com/livestream'],[],0,0,4,"['vetmed', 'vis2019', 'bethechange', 'innovate', 'collaborate']",[],https://twitter.com/zenvet23/status/1113802850562396161,False,,0,,,,,,,,[],,,,
1113518310862204928,1113518310862204928,2019-04-04 03:07:08 CST,2019-04-04,03:07:08,+0800,722506778047422464,geniusvets,GeniusVets,,"📍Heading out to the Veterinary Innovation Summit this week? Don’t miss our co-founder, David Hall, (and his sweet pug shirt) speaking about the customer experience! #VIS2019 @The_NAVC @vet_innovation @tamuvetmed  https://t.co/WK2pGAOo0X",en,"[{'screen_name': 'the_navc', 'name': 'navc', 'id': '78102886'}, {'screen_name': 'vet_innovation', 'name': 'vic navc', 'id': '802937818788020224'}, {'screen_name': 'tamuvetmed', 'name': 'texas a&m vet med', 'id': '35044686'}]",[],['https://pbs.twimg.com/media/D3QC-1XUwAAsSvi.png'],0,1,5,['vis2019'],[],https://twitter.com/GeniusVets/status/1113518310862204928,False,,1,https://pbs.twimg.com/media/D3QC-1XUwAAsSvi.png,,,,,,,[],,,,
1113134416065425423,1113134416065425423,2019-04-03 01:41:40 CST,2019-04-03,01:41:40,+0800,3169652009,vetonetwork,VetoNetwork,,🙏🤖😊 Hâte de participer à cette édition du Veterinary Innovation Summit avec un programme vétérinaire 🤗😍😍😍🤗 Plus d'informations ⏩  https://t.co/L1DR8wFWX6 #vis2019  https://t.co/Haz5mgiyt0,fr,[],['https://lnkd.in/eC3Vvy8'],['https://pbs.twimg.com/media/D3KlvXHX0AEG7ZZ.jpg'],0,1,5,['vis2019'],[],https://twitter.com/VetoNetwork/status/1113134416065425423,False,,1,https://pbs.twimg.com/media/D3KlvXHX0AEG7ZZ.jpg,,,,,,,[],,,,
1112469237111488512,1112469237111488512,2019-04-01 05:38:29 CST,2019-04-01,05:38:29,+0800,217568883,natemorrical,Nate Morrical,,"Taking screenshots for some VR figures for a publication. Figured out how to get a consistent camera position. Now, how do I prop VR controllers?.. #vr #vis2019 #scii #uofu  https://t.co/ftW0yLxldG",en,[],[],['https://pbs.twimg.com/media/D3BI3yEUYAAaM3U.jpg'],1,0,1,"['vr', 'vis2019', 'scii', 'uofu']",[],https://twitter.com/NateMorrical/status/1112469237111488512,False,,1,https://pbs.twimg.com/media/D3BI3yEUYAAaM3U.jpg,,,,,,,[],,,,
1110904874512891905,1110904874512891905,2019-03-27 22:02:16 CST,2019-03-27,22:02:16,+0800,35044686,tamuvetmed,Texas A&M Vet Med,,"Veterinary Innovation &amp; Entrepreneurship Students from the #TAMU #CVM encourage you to join them at the Veterinary Innovation Summit in College Station, April 5–7, 2019. #VIS2019  https://t.co/FpLDTiqIjj @The_NAVC @vet_innovation  https://t.co/tCmckat41E",en,"[{'screen_name': 'the_navc', 'name': 'navc', 'id': '78102886'}, {'screen_name': 'vet_innovation', 'name': 'vic navc', 'id': '802937818788020224'}]",['https://youtu.be/CquVmIqc2vI'],['https://pbs.twimg.com/media/D2q6GD9XQAI-emq.jpg'],0,1,9,"['tamu', 'cvm', 'vis2019']",[],https://twitter.com/tamuvetmed/status/1110904874512891905,False,,1,https://pbs.twimg.com/media/D2q6GD9XQAI-emq.jpg,,,,,,,[],,,,
1110141860859793408,1110141860859793408,2019-03-25 19:30:19 CST,2019-03-25,19:30:19,+0800,35044686,tamuvetmed,Texas A&M Vet Med,,"Register for the 3rd Annual Veterinary Innovation Summit and join us on the cutting-edge of veterinary medicine, April 5–7, 2019, here at the #TAMU #CVM. Visit  https://t.co/0zDCDbKGho. #VIS2019 @vet_innovation @The_NAVC  https://t.co/pp1VGXkomp",en,"[{'screen_name': 'vet_innovation', 'name': 'vic navc', 'id': '802937818788020224'}, {'screen_name': 'the_navc', 'name': 'navc', 'id': '78102886'}]",['http://veterinaryinnovationsummit.com'],['https://pbs.twimg.com/media/D2gEI5yWoAEh163.jpg'],0,2,8,"['tamu', 'cvm', 'vis2019']",[],https://twitter.com/tamuvetmed/status/1110141860859793408,False,,1,https://pbs.twimg.com/media/D2gEI5yWoAEh163.jpg,,,,,,,[],,,,
